top_type,top_color,top_usage,top_season,bottom_type,bottom_color,bottom_usage,bottom_season,shoe_type,shoe_color,shoe_usage,shoe_season
Shirts,Green,Casual,Summer,Shorts,Grey,Sports,Fall,Sports Shoes,Black,Sports,Fall
Shirts,Navy Blue,Casual,Summer,Trousers,Green,Casual,Fall,Sports Shoes,Blue,Sports,Summer
Shirts,Red,Casual,Summer,Jeans,Navy Blue,Casual,Summer,Casual Shoes,Grey,Casual,Fall
Tshirts,Grey,Casual,Summer,Shorts,Grey,Casual,Summer,Sports Shoes,White,Sports,Fall
Tshirts,Black,Sports,Fall,Shorts,Red,Casual,Fall,Casual Shoes,Black,Casual,Fall
Shirts,White,Casual,Fall,Track Pants,Grey,Sports,Summer,Formal Shoes,Black,Formal,Fall
Tshirts,Blue,Casual,Fall,Shorts,Navy Blue,Casual,Summer,Casual Shoes,Blue,Casual,Fall
Tshirts,Blue,Casual,Fall,Trousers,Grey,Formal,Fall,Casual Shoes,Black,Casual,Winter
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Fall
Shirts,White,Formal,Summer,Trousers,Brown,Casual,Summer,Sports Shoes,White,Sports,Fall
Shirts,Purple,Casual,Fall,Shorts,Red,Sports,Summer,Casual Shoes,Brown,Casual,Winter
Tshirts,White,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter
Tshirts,White,Casual,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,Grey,Casual,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,Navy Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Summer
Shirts,White,Casual,Fall,Trousers,Blue,Formal,Fall,Sports Shoes,White,Sports,Summer
Tshirts,Green,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Blue,Casual,Fall
Shirts,Pink,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Sports Shoes,Black,Sports,Summer
Tshirts,Black,Casual,Summer,Shorts,White,Casual,Summer,Sports Shoes,White,Casual,Summer
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Summer
Tshirts,Grey,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,White,Casual,Fall
Shirts,Navy Blue,Casual,Summer,Trousers,Brown,Casual,Fall,Casual Shoes,Black,Casual,Fall
Tshirts,Blue,Sports,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Winter
Tshirts,Purple,Casual,Fall,Shorts,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer
Tshirts,Red,Casual,Fall,Shorts,Red,Sports,Summer,Sports Shoes,Silver,Sports,Summer
Shirts,White,Formal,Summer,Jeans,,Casual,Fall,Formal Shoes,Black,Formal,Summer
Shirts,Purple,Formal,Fall,Jeans,Black,Casual,Fall,Casual Shoes,Brown,Casual,Winter
Shirts,Brown,Casual,Summer,Shorts,Navy Blue,Sports,Fall,Casual Shoes,Blue,Casual,Summer
Tshirts,Blue,Casual,Fall,Shorts,Black,Sports,Fall,Sports Shoes,Blue,Sports,Summer
Sweatshirts,Purple,Casual,Fall,Shorts,Grey,Casual,Summer,Sports Shoes,White,Sports,Fall
Tshirts,Blue,Casual,Summer,Shorts,Grey,Casual,Fall,Casual Shoes,Blue,Casual,Fall
Tshirts,Pink,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Brown,Casual,Winter
Shirts,Red,Casual,Fall,Trousers,Green,Casual,Fall,Casual Shoes,Grey,Casual,Winter
Shirts,Grey,Casual,Fall,Trousers,Cream,Formal,Fall,Casual Shoes,Black,Casual,Summer
Tshirts,Green,Casual,Fall,Shorts,Red,Casual,Fall,Casual Shoes,Black,Casual,Summer
Tshirts,Burgundy,Casual,Summer,Trousers,Grey,Formal,Fall,Sports Shoes,Black,Sports,Summer
Tshirts,Grey,Casual,Fall,Shorts,Grey,Casual,Summer,Casual Shoes,Red,Casual,Winter
Tshirts,White,Casual,Summer,Shorts,Grey,Casual,Summer,Casual Shoes,Red,Sports,Summer
Shirts,Green,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Grey,Casual,Fall
Tshirts,White,Casual,Fall,Shorts,Brown,Sports,Summer,Casual Shoes,Black,Casual,Winter
Jackets,Red,Casual,Fall,Trousers,Grey,Casual,Summer,Casual Shoes,Grey,Casual,Fall
Kurtas,Maroon,Ethnic,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Navy Blue,Casual,Summer
Shirts,Brown,Casual,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Brown,Casual,Winter
Tshirts,Blue,Casual,Summer,Trousers,Beige,Casual,Fall,Sports Shoes,Silver,Sports,Summer
Tshirts,White,Casual,Fall,Jeans,Blue,Casual,Winter,Casual Shoes,Black,Casual,Summer
Shirts,Red,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,Navy Blue,Casual,Fall,Track Pants,Brown,Casual,Fall,Casual Shoes,Red,Casual,Winter
Shirts,White,Casual,Fall,Shorts,Red,Casual,Fall,Casual Shoes,White,Casual,Summer
Kurtas,Maroon,Ethnic,Summer,Trousers,Grey,Casual,Summer,Sports Shoes,Black,Sports,Summer
Tshirts,Pink,Casual,Summer,Shorts,Black,Sports,Summer,Casual Shoes,Black,Casual,Fall
Shirts,Black,Casual,Summer,Shorts,Grey,Casual,Summer,Casual Shoes,Red,Casual,Winter
Tshirts,Blue,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Green,Casual,Summer
Tshirts,Brown,Casual,Fall,Shorts,Black,Sports,Summer,Sports Shoes,Blue,Sports,Summer
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Navy Blue,Casual,Summer
Tshirts,White,Casual,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Summer
Tshirts,Green,Sports,Fall,Trousers,Charcoal,Formal,Fall,Casual Shoes,Black,Casual,Fall
Tshirts,White,Casual,Summer,Shorts,Black,Sports,Summer,Sports Shoes,Black,Sports,Summer
Tshirts,Black,Casual,Summer,Track Pants,Black,Casual,Summer,Casual Shoes,Brown,Casual,Winter
Shirts,Green,Casual,Fall,Track Pants,Black,Casual,Fall,Sports Shoes,White,Casual,Summer
Shirts,Red,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Casual Shoes,White,Casual,Summer
Shirts,Yellow,Casual,Fall,Track Pants,Brown,Casual,Fall,Casual Shoes,Black,Casual,Summer
Shirts,Orange,Formal,Summer,Trousers,Black,Formal,Summer,Casual Shoes,Black,Casual,Summer
Shirts,Navy Blue,Casual,Summer,Trousers,Black,Casual,Fall,Sports Shoes,White,Sports,Fall
Tshirts,Red,Casual,Fall,Shorts,Beige,Casual,Fall,Casual Shoes,Grey,Casual,Winter
Tshirts,Blue,Sports,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Fall
Tshirts,Yellow,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer
Tshirts,Black,Casual,Summer,Trousers,Black,Formal,Fall,Casual Shoes,Beige,Casual,Winter
Shirts,Pink,Casual,Summer,Trousers,Black,Casual,Summer,Casual Shoes,Blue,Casual,Summer
Tshirts,Navy Blue,Casual,Summer,Shorts,Black,Sports,Fall,Formal Shoes,Black,Formal,Summer
Tshirts,Purple,Casual,Fall,Shorts,Blue,Casual,Summer,Casual Shoes,Beige,Casual,Winter
Shirts,Red,Casual,Summer,Shorts,Black,Sports,Winter,Sports Shoes,White,Casual,Summer
Shirts,Brown,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Grey,Sports,Summer
Tshirts,Navy Blue,Casual,Summer,Track Pants,Black,Sports,Fall,Casual Shoes,Blue,Casual,Fall
Tshirts,White,Casual,Summer,Shorts,Grey,Casual,Summer,Sports Shoes,Black,Sports,Spring
Tshirts,Grey,Casual,Summer,Track Pants,Black,Sports,Fall,Sports Shoes,White,Sports,Fall
Shirts,Olive,Casual,Summer,Trousers,Grey,Formal,Fall,Sports Shoes,Blue,Sports,Fall
Tshirts,Grey,Casual,Summer,Track Pants,Grey,Sports,Summer,Sports Shoes,Grey,Sports,Fall
Kurtas,Maroon,Ethnic,Summer,Trousers,Charcoal,Formal,Fall,Casual Shoes,Brown,Casual,Summer
Tshirts,Burgundy,Casual,Summer,Track Pants,Black,Sports,Fall,Casual Shoes,Navy Blue,Casual,Summer
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Fall
Tshirts,Pink,Casual,Summer,Shorts,Black,Casual,Summer,Casual Shoes,Blue,Casual,Fall
Tshirts,Grey,Casual,Summer,Jeans,Blue,Casual,Fall,Sports Shoes,Silver,Sports,Summer
Shirts,Purple,Formal,Fall,Trousers,Grey,Formal,Fall,Sports Shoes,White,Casual,Summer
Tshirts,Purple,Casual,Summer,Shorts,Grey,Casual,Summer,Sports Shoes,Blue,Sports,Summer
Tshirts,Grey,Casual,Fall,Trousers,Grey,Formal,Fall,Casual Shoes,Blue,Casual,Summer
Tshirts,White,Casual,Fall,Track Pants,Grey,Casual,Fall,Casual Shoes,Red,Casual,Winter
Tshirts,Brown,Casual,Fall,Track Pants,Grey,Casual,Summer,Sports Shoes,Blue,Sports,Summer
Tshirts,Purple,Casual,Summer,Shorts,Grey,Sports,Fall,Casual Shoes,White,Casual,Summer
Tshirts,Green,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Fall
Tshirts,Black,Casual,Summer,Shorts,Black,Sports,Fall,Sports Shoes,Black,Sports,Spring
Tshirts,Red,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer
Shirts,Yellow,Casual,Fall,Track Pants,Black,Casual,Summer,Casual Shoes,Black,Casual,Summer
Tshirts,Purple,Casual,Fall,Shorts,Grey,Sports,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,Pink,Casual,Summer,Shorts,Brown,Sports,Summer,Casual Shoes,Navy Blue,Casual,Summer
Tshirts,Brown,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Casual,Summer
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer
Tshirts,Orange,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,Charcoal,Casual,Fall
Tshirts,Grey,Casual,Summer,Shorts,Black,Sports,Summer,Sports Shoes,Black,Sports,Spring
Tshirts,Green,Casual,Summer,Jeans,Blue,Casual,Winter,Casual Shoes,Brown,Casual,Winter
Shirts,Blue,Casual,Fall,Trousers,Grey,Casual,Summer,Casual Shoes,White,Casual,Spring
Tshirts,Black,Casual,Summer,Trousers,Black,Formal,Fall,Sports Shoes,White,Sports,Fall
Kurtas,Maroon,Ethnic,Summer,Jeans,,Casual,Fall,Casual Shoes,Black,Casual,Summer
Shirts,White,Formal,Summer,Shorts,Black,Sports,Fall,Casual Shoes,Navy Blue,Casual,Fall
Shirts,Green,Casual,Summer,Shorts,Black,Casual,Summer,Casual Shoes,Black,Casual,Summer
Tshirts,Purple,Casual,Summer,Track Pants,Black,Casual,Fall,Sports Shoes,Blue,Sports,Summer
Tshirts,Black,Casual,Summer,Jeans,Blue,Casual,Winter,Sports Shoes,Black,Sports,Summer
Tshirts,Pink,Casual,Summer,Shorts,Blue,Casual,Summer,Casual Shoes,White,Casual,Spring
Shirts,Red,Casual,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Brown,Casual,Winter
Tshirts,Navy Blue,Sports,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Blue,Casual,Summer
Tshirts,Burgundy,Casual,Summer,Track Pants,Brown,Casual,Fall,Casual Shoes,Black,Casual,Fall
Tshirts,Navy Blue,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,Green,Casual,Fall,Shorts,Navy Blue,Casual,Summer,Sports Shoes,White,Sports,Summer
Tshirts,Pink,Casual,Summer,Shorts,Black,Sports,Summer,Casual Shoes,White,Casual,Fall
Shirts,Red,Casual,Summer,Shorts,Grey,Sports,Fall,Casual Shoes,Red,Sports,Summer
Jackets,Red,Casual,Fall,Track Pants,Charcoal,Sports,Summer,Sports Shoes,White,Sports,Summer
Tshirts,Blue,Casual,Summer,Shorts,Beige,Casual,Fall,Sports Shoes,White,Sports,Fall
Tshirts,Black,Casual,Summer,Trousers,Grey,Casual,Summer,Sports Shoes,Black,Sports,Summer
Tshirts,Navy Blue,Casual,Fall,Jeans,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer
Tshirts,Grey,Casual,Summer,Trousers,Navy Blue,Casual,Fall,Casual Shoes,Black,Casual,Fall
Tshirts,Black,Casual,Summer,Trousers,Brown,Casual,Summer,Sports Shoes,White,Casual,Summer
Tshirts,White,Casual,Summer,Track Pants,Grey,Sports,Summer,Sports Shoes,White,Sports,Summer
Shirts,Olive,Casual,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,Blue,Casual,Fall
Shirts,Red,Casual,Fall,Trousers,Grey,Casual,Fall,Formal Shoes,Black,Formal,Summer
Tshirts,Purple,Casual,Fall,Shorts,Grey Melange,Sports,Summer,Sports Shoes,Blue,Sports,Summer
Tshirts,Black,Casual,Summer,Trousers,Black,Casual,Summer,Sports Shoes,Silver,Sports,Summer
Tshirts,Black,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Black,Casual,Summer
Tshirts,Purple,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Grey,Casual,Summer
Sweatshirts,Black,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter
Shirts,Red,Casual,Summer,Trousers,Navy Blue,Casual,Fall,Casual Shoes,Black,Casual,Summer
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall
Tshirts,Blue,Casual,Summer,Track Pants,Black,Sports,Fall,Casual Shoes,White,Casual,Fall
Tshirts,Navy Blue,Casual,Summer,Trousers,Black,Formal,Summer,Sports Shoes,Blue,Sports,Fall
Tshirts,Grey,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter
Tshirts,White,Casual,Summer,Trousers,Black,Casual,Summer,Casual Shoes,White,Casual,Fall
Shirts,Green,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,White,Casual,Summer
Tshirts,Burgundy,Casual,Summer,Track Pants,Black,Casual,Spring,Sports Shoes,White,Sports,Summer
Shirts,Red,Casual,Summer,Trousers,Black,Casual,Fall,Formal Shoes,Black,Formal,Fall
Shirts,Red,Formal,Fall,Shorts,Brown,Sports,Summer,Sports Shoes,White,Sports,Summer
Shirts,Purple,Casual,Fall,Track Pants,Grey,Casual,Fall,Sports Shoes,Blue,Sports,Fall
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Summer
Tshirts,Red,Casual,Fall,Shorts,Grey,Casual,Summer,Casual Shoes,Blue,Casual,Fall
Shirts,Purple,Formal,Fall,Jeans,Blue,Casual,Fall,Sports Shoes,Blue,Sports,Summer
Shirts,Black,Casual,Summer,Shorts,Grey,Casual,Summer,Sports Shoes,White,Sports,Fall
Kurtas,Maroon,Ethnic,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Beige,Casual,Winter
Tshirts,Red,Casual,Fall,Track Pants,Black,Sports,Fall,Sports Shoes,White,Casual,Summer
Shirts,Red,Casual,Summer,Track Pants,Black,Casual,Summer,Casual Shoes,Black,Casual,Fall
Tshirts,Brown,Casual,Fall,Trousers,Grey,Casual,Summer,Sports Shoes,White,Sports,Summer
Shirts,Black,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Green,Casual,Summer
